Students	1081
0905954	001190 003567 007026 
0865894	001152 001839 001842 006847 
0916427	002653 003437 003472 
0988245	004012 007365 007378 
1016434	002161 004666 006031 006035 
1057779	001176 001423 005846 008766 
0911936	001837 001841 002856 008764 
1004968	002856 006524 007106 
0850564	001243 001842 
1002248	002153 005725 006031 006034 006849 
0831413	003427 003527 003530 008766 
1008925	002161 002856 006504 006849 
0748627	007041 008799 
1044157	001176 001423 004276 005846 
1076274	001152 002856 008774 
0784123	004362 
1002241	002856 003011 004276 007878 
0741435	007378 
1077161	001423 002856 006031 008764 
0998323	003560 008766 
0818349	001161 001168 002871 
0828017	001837 006847 
0897034	002368 002397 002414 008799 
1038671	001152 001168 006031 008764 
1056980	001837 001841 006024 
1020727	004803 004804 005141 008764 
0913946	004803 004836 005122 007017 
0701809	001837 002161 006847 
0828464	005263 008446 
0914290	001844 002368 002397 008782 
0985094	006504 006524 007026 
0882323	001839 006847 
0904680	002153 002856 006031 008766 
0901946	002163 002166 002174 006043 
1085631	001768 004276 008764 
0847932	001840 002163 002166 004394 
1032769	001152 001565 001567 002992 008764 
0788849	004824 006049 007378 008459 
1056910	002368 004276 004276 008766 
1002405	006031 006035 
1064148	001423 002992 005723 006024 
0986094	001837 002856 005263 006849 
0959304	002163 004015 006849 
0945264	007017 007040 
0657857	008501 008799 
0852608	002856 003274 007365 
1000939	001770 002653 002856 003423 004023 
0852945	002366 002414 002463 
1002729	002572 003009 003029 006502 
1040874	001152 002153 002856 007906 
0832455	006868 
0772305	008446 008459 008464 
1010175	002856 002876 008774 
0769020	002638 002941 002952 
0998885	002856 004394 006024 
0896036	001426 001466 008766 
1009729	002153 002856 006031 006035 008766 
1034578	001842 002368 005723 006026 
0903436	003421 007026 007041 
1037338	002876 004016 006026 
0886158	007040 007045 008782 
0748713	001842 003029 006059 008766 
0857087	001227 001249 006847 
0988620	002856 002934 
0828065	001840 002572 004882 004889 
0999712	004276 005122 007106 
0806269	001227 002174 
0907493	007040 008810 
1018252	001152 002856 008766 
0898872	003423 003426 003527 004276 
0958879	001161 002856 006031 006035 
1013071	001837 008766 
0906085	003427 008421 008459 008464 
0908998	001837 004858 
0828068	004889 008459 
0778307	004877 004889 005743 006043 
0813366	004817 006043 006049 006059 
0802766	006041 006059 
0818599	001163 001249 002934 
0832171	002638 008459 
1037541	001152 003421 006502 008764 
1019940	004276 007026 007032 
0860497	007032 
0836379	003004 003029 004275 007041 
1172397	001837 001840 002856 008774 
0780450	002875 006043 007380 007396 
1036225	002153 002856 004360 006024 
0849713	002362 002856 004845 005263 
1017412	001152 002876 002934 006026 
0854032	002934 002952 
1067460	001168 002153 003406 006024 
0945969	001840 002161 004016 006024 006849 
0907063	002856 002992 004670 
0865750	006034 006035 007380 007391 
0998815	002856 003274 003421 
0744133	005177 
1025522	004360 006024 006504 
0889839	003560 005130 
1008387	002153 002856 003004 006854 
0820055	001839 001840 002871 005850 
1078508	002856 002871 006031 
1053105	001152 004804 008421 008764 
1004206	001572 001842 004276 004836 
0909662	001842 002153 004279 004293 
0903449	004016 004845 007365 
0967042	008469 008475 008782 
0862049	002161 006035 006043 
0985440	002856 006524 006559 008475 
0993268	002856 003009 004276 
0751823	004083 005177 
1079993	001152 001168 002856 007365 
0917334	001837 002161 006035 006502 
1076246	001190 001839 008766 
1064270	002572 007365 008766 
0848719	003004 
1067726	002856 004016 004804 008421 
0887467	001565 002381 002414 002464 006524 
0786916	001841 001842 002161 006031 
0801247	002952 
0770198	002876 003533 
0901688	001839 001840 002161 002992 
0858181	005180 005263 
0902118	006026 008780 008799 
1055590	006031 006854 008475 008764 
0828604	003037 005263 
0988271	001837 002161 002659 003421 
0850613	002572 006043 
1081952	002871 003407 004010 005141 
0896217	003278 
1007196	001472 002856 002941 006035 
0918277	003009 005263 005263 
0899241	003004 
0952594	001770 002856 
1003476	003002 003427 004817 004877 
0780528	001861 002934 006041 
0836471	003037 005263 007040 
0889700	001572 004734 004836 
0807347	003516 008764 
0991672	002362 002469 005725 
0918074	003004 003009 007032 007045 
0710449	001840 007403 007406 
0954917	006502 006505 008774 
0987937	001837 002856 005180 008421 
0868541	001837 002856 
0783208	002659 002871 005263 007026 
0915543	003009 003029 006041 006043 
0833188	004020 004023 004036 007026 
0920400	004010 006026 007026 007045 
0680495	003274 005263 008799 
0966077	001190 001837 003481 008766 
0769557	006031 008459 
0999715	001837 002153 006034 
0989395	001565 001567 004012 007370 007391 
0850337	001546 003432 006524 
0903229	003004 003009 007040 007045 
1077417	001168 002856 004012 006031 
1077416	002856 003270 004360 005141 
0915885	001837 002856 006847 007378 
1005315	002368 004356 
0966299	001176 001546 001837 002161 002856 
0892333	003029 006035 006043 
0739031	003406 007040 008799 
1010750	001763 005141 005200 
1046439	004670 004824 006504 007878 
1023494	002366 002636 004276 006024 
0833438	001227 001861 006847 
1015706	001227 002163 002166 
0745780	003037 
0849245	005191 007378 007380 007391 
0785336	002636 
0849243	004065 004083 007041 
0869575	007045 008810 
0877028	003002 003004 003423 
0832928	001770 
0858114	001168 007391 007396 
0802127	001562 002871 004845 
1040818	002992 004023 006031 007017 
1078648	002856 002941 004012 006024 
0828596	001227 001249 
1018936	002856 004010 006031 
0823997	004836 005210 005272 006031 006035 
0834495	001546 
0813147	007396 007923 007926 
0827209	006043 006502 
1041140	001152 002856 007365 008766 
0963413	002856 007365 007380 
0899419	002871 006035 006043 
1058223	002368 002856 006031 
0904719	001841 006034 006504 
1017832	001837 002856 002992 004015 
0972660	002161 
1084462	002856 004824 004845 008766 
0852358	004670 005216 006502 006872 
0852456	003423 003530 003533 004012 
0852455	001190 003002 007040 007106 
1000990	002856 007041 008766 
1077482	002856 004360 004803 006031 
1018857	002992 006024 008774 
0873557	001839 001840 004824 004836 
0807993	003453 003554 005263 
1066007	002368 002876 004010 
0829872	007393 007403 008446 
0849022	002659 002871 005263 005263 
0945034	003421 006024 008780 
1076437	002876 008764 
0907596	007378 008421 008464 008469 
0709543	004889 008766 
0742063	004877 004889 
0828021	001546 003530 004889 005122 
1067251	002654 002992 004276 005846 
1079771	001837 004360 006504 
0817768	005263 006049 006059 
0804850	007041 008490 
0991756	001161 002856 003423 003453 
1024283	006024 006026 006502 006849 
1076922	001190 006024 
0908164	001839 002166 006847 
1065796	002153 002856 006024 
0972861	001837 001840 002161 004360 
0832248	005272 007378 008490 008764 
0853174	002856 003009 
1076989	002856 006031 008774 
1079444	002654 002856 002992 004010 
0998972	002856 002941 
0958897	004836 007378 007380 007403 
0833317	001840 007393 
0987600	002992 004016 006024 006504 
0853072	002572 006043 
0742089	001841 002178 003453 
1049299	001837 002934 006031 008766 
1058421	001152 001168 001837 004012 
0851310	002368 002397 002871 006041 
0903278	001839 
1030369	001749 002856 007365 008764 
0785917	005177 007070 
1068052	002856 004010 006024 
0894845	002368 002397 003002 
1025644	002856 006024 008774 
0865667	003002 003004 006523 
1016996	001844 006026 007045 008475 
0848750	005272 007070 
0748357	007391 007396 007403 
1000355	002856 002992 003423 
1088180	002161 002856 002876 004012 
1076854	002856 004803 005723 008780 
0993818	002856 
0993790	002856 002992 
0854138	001546 003432 003481 
0887308	001839 001844 003454 003472 
0993169	002368 002381 006031 006034 
0774062	003437 003454 003560 
0905540	001839 001842 006847 
0833941	003472 008782 
0810831	002572 
0861180	003274 007393 007396 
0734613	003002 003029 
1018271	002856 002876 004803 007365 008764 
1042335	001168 001763 003427 005846 
0603589	003554 
0882728	002464 002469 005263 
0858924	001770 
1018174	002992 004010 004804 008421 
0870197	001840 002876 007396 007406 
1003539	002856 005191 008469 008475 
0890665	004667 006034 006041 007916 
1003020	001837 002161 002856 
0908375	007393 008799 008809 008810 
1172355	001423 
0833266	002856 003421 003560 
0773276	002856 
1000122	001227 002397 002856 
0989432	002856 006854 
0824299	003427 005180 006868 
0976421	002856 004276 007041 008782 
0911706	001163 001182 001244 002636 
0812518	007926 008446 008475 
0860265	001565 001567 
0954831	002856 
0953178	001770 003453 003533 005141 
0951991	001168 002161 004016 
0781147	004817 005138 
0858864	001195 008459 008469 008490 
1038303	002856 004275 006024 
0993929	001840 001841 002992 006849 
0909942	002856 005850 006024 008421 
1077294	002856 002992 004010 007032 
0830700	001861 001895 
1007842	001152 001844 002856 004276 
1058048	003002 006024 007878 
0849809	001565 001567 001572 
0711460	001861 002161 006847 
0834443	006043 006049 006059 
1066309	001837 002856 004276 004360 
1066308	001152 004360 005162 006026 
0918153	002366 002381 002395 002396 
1025460	002153 002856 004276 004362 
0993532	001423 001426 002856 004275 
0886011	006854 007026 
0755048	003029 006043 
1006799	002856 
0860298	003002 005263 008446 
0912081	003004 003029 006043 007040 
0914299	001844 002368 002397 008782 
0819118	001161 001227 001842 008446 
0986262	002654 003002 003009 005725 
0988625	001837 002161 002856 004010 
0852176	002166 002395 006035 
1076776	002856 003407 007041 
0998351	004010 005141 005152 
1005451	002653 003472 
1079614	001152 001190 002562 004012 
1066924	001763 001837 004012 006024 
1025845	001152 001423 004276 008766 
0788425	002992 003453 004803 
1023923	002856 002992 004012 004276 
1007779	001763 003427 008446 
0952783	001837 001840 002161 006847 
0679831	001842 003426 004824 
0751788	002562 008421 008469 
0945809	004016 
1057520	001152 002856 004810 005122 
0960084	002161 005846 006031 006849 
0773014	001195 004016 
0920095	001837 002161 005141 008782 
0883488	002572 006558 
0831548	007040 008766 
1000895	006043 006045 006049 008799 
1056270	002368 003270 006026 008766 
0909837	001161 001839 004803 006847 
1039831	002856 003274 004015 005850 
0992616	001227 001842 001844 002153 006847 
1068371	002153 003427 007378 008764 
0990668	002856 002876 003437 003560 
0998799	006504 006524 
0964596	004012 004276 006031 006034 
0830791	004083 007106 
1081006	001750 002871 008766 
0966125	002856 004845 
1057592	002871 004276 005200 005850 
1064605	001168 001837 001842 005723 
1005427	002871 002992 008782 
0830886	004275 007040 008799 
0904506	002161 002856 003004 004016 
1005059	001546 006031 006035 006502 006854 
1064790	001152 001168 002368 004010 
1078413	001763 003472 005193 
0780619	001244 001249 007916 
0848994	004394 
0784558	001839 002174 004083 008764 
0852409	004083 007070 
0973811	002368 002562 005725 006026 
0986807	001161 001168 004360 006026 
1079384	002856 008464 
1039943	003421 004275 005200 007878 
0746210	003004 003029 004012 
0746213	008421 
0780191	001152 004738 005850 
0748765	001152 001161 001844 
1055441	001152 001837 002153 004012 006024 
1030683	002856 003421 004012 006524 
1084909	001844 002161 002992 004276 
1019674	002856 003427 008766 
1049050	002368 005723 006026 
0756275	001168 001768 
0991213	003427 004804 006024 
1047318	002856 002992 007878 008780 
1005633	004817 004858 005216 005284 
0907151	002934 006031 006035 006041 
0860532	001190 001195 
0952443	002636 003274 007365 
0802029	006043 006059 
0945635	004804 008421 008459 008469 
0913880	001426 001466 
0848150	001190 001842 002161 008475 
0785955	007391 
1029737	001837 005723 006031 
0991769	005177 006031 006854 008766 
0781139	006045 007393 
1066778	002856 002992 004012 006024 
0825559	001768 
1003100	001770 007378 007380 008766 
0803706	003037 004065 
0917040	002856 002992 005723 
1032432	004670 004803 007878 008421 
0945959	006031 006035 006849 
0834544	001572 
0890945	003011 005210 005263 
1017760	003427 003533 008469 
1002767	002161 004015 006031 
0769943	001168 001249 003472 
0742886	001168 001839 007393 
0911218	001837 004670 007882 
0992223	002941 
1002045	001168 001840 002161 006849 
0870907	005180 007017 007026 
1002047	001837 001840 007365 008764 
0987243	002856 003274 008810 
1067862	002368 004010 006026 
0999826	001168 002992 004720 
1001806	002368 002856 004012 008464 
0805926	003029 004083 005725 
1001905	002856 002992 004036 007878 
1077003	002856 003437 007017 008421 
0970193	001546 001837 006031 006034 
1066335	002562 002856 004667 006024 
1086916	002992 004360 006031 007378 
1041559	002856 002871 005120 
1036442	002153 002856 006031 008766 
0966414	002654 002992 007045 
1018301	002856 002992 006026 008780 
0700408	006019 
0836904	001190 007017 008501 008799 
0954830	001152 001176 001837 006034 
0812632	001176 004667 006049 008459 
0810196	001546 003427 
0850607	001546 001565 001567 003002 007070 
1077257	004836 007017 
0982172	004015 
0991668	001152 001572 002856 004836 005725 
1081917	002572 006024 
0802807	002562 006035 
1001394	002871 002992 005723 
1025508	001152 002856 004016 008421 
0822518	007396 007403 
0888075	002163 002166 006035 
0791975	007396 
1082150	003423 004276 006024 008764 
0988544	001766 002856 003481 008421 
0989401	002856 002871 004858 008421 
1035148	002153 002992 003406 006031 
0957333	003454 005263 006854 
0829181	007393 
0952211	001152 003437 005141 
1056012	002368 003453 004012 
1032929	002153 006024 008421 008766 
0781523	005738 006041 006043 
0789284	001168 001195 001837 004360 006024 
0781527	003437 008459 
1058180	001763 004010 005141 008421 
1041981	002368 002871 004010 004804 
0777510	004083 
0768235	001249 003274 
0968216	003454 004394 004824 004836 
0902541	002562 003004 007040 007041 
0980544	001768 003454 
0902226	003567 004394 008434 
0965927	003421 004036 007026 
0903338	005738 007391 
0852192	002856 003432 003454 
0830197	001168 001243 005177 
1084185	001842 002653 002856 
0896476	007380 007391 
0809839	002163 
0824978	007026 007041 
0824872	001840 001842 007403 
0865618	005200 005211 006504 
1008282	002856 
1080792	002856 002871 003002 008766 
0827786	003453 003567 006024 
0807750	003004 003432 004817 
1020520	002856 006031 006034 008766 
0860659	006868 
0910403	002856 002876 004871 007365 
0790880	004083 
1002706	001546 004275 007017 
0959919	001565 001567 002856 003454 003530 
0145931	002871 005725 
0769686	006031 007045 
1005548	004015 004275 004291 
0833511	001190 004012 
1005346	002562 002856 006524 
0920261	002856 006524 007045 
0851545	001176 001426 006524 
1006899	002562 002856 007045 008780 
0913115	002856 005725 007041 
0830280	001839 001842 006847 
1055290	002856 002876 004010 006024 
1007394	002856 006031 006034 
0831800	002659 005263 007391 007393 
0825102	001161 002654 007391 
1067502	002636 003270 006024 
0771900	006049 
1039868	001750 002856 003453 005177 005846 
0857016	005723 007391 
1019025	002366 002856 
0786093	008766 
0901262	001423 002876 004734 005141 008774 
0960497	007378 007380 
0744202	007923 007926 
0754424	003004 005263 007391 007393 
0832718	006043 006049 006059 
0833657	002875 002876 
1029566	002153 003406 004015 006024 
1021017	004012 006504 006524 008421 
0808392	007032 007045 008764 
0827099	003004 
1020478	001168 006024 008764 
1065238	002856 003453 005725 
0991763	001152 001842 004010 004276 
0971073	003270 003437 008421 008469 
0832653	001766 003567 004010 
0744475	006045 007923 007926 
0671926	007032 007365 008766 
0992189	001161 002934 008774 
1005112	003270 003274 006031 006034 
0814593	001861 006031 
0896224	004012 007378 007406 
1078836	002856 006024 
0987613	002572 006043 
0854345	001837 001842 005743 006019 
0971315	002636 003009 004276 
0887398	003426 003560 008464 
1029787	001152 001837 002153 004012 
0707575	008809 008810 
0830807	001840 006847 007403 
0858752	001163 001227 002871 005738 
1065196	001152 002871 002992 
1053370	002856 002871 003454 005723 
0853988	002941 007365 007378 
0776956	008501 
0851302	007040 007080 
1024315	002856 005191 008774 
0903064	001768 003560 005180 
1084017	002153 004836 006024 
0991229	004845 
0966303	001546 002856 002992 004817 
1067483	002856 004275 007045 008764 
0772927	001837 007391 
0830276	004670 006588 
1088192	003560 005723 
0862152	001837 006847 008490 
1067724	002992 004010 008464 
0852994	003453 003567 
0907150	001766 002397 003481 004276 
0915740	002856 004036 004666 004720 
1084321	002871 004036 008421 
0986688	007045 008799 
0865276	001844 002163 002166 006502 006847 
0987276	004670 005725 007888 
0901409	001842 007378 007380 008475 
0834603	001770 
1085324	002992 003453 004810 004817 
0867494	003011 
0900541	003274 007378 007403 
0829788	004020 004083 006049 006059 
1017840	001423 002856 002876 004015 
1025035	001152 002871 002876 
0958492	002562 002856 006031 008464 
0848562	002396 004836 
0965861	002856 003453 003560 
0948095	006041 006049 006868 
0847254	004667 
1077963	002856 
0911361	001423 
0907248	003427 003527 
1002036	001840 004824 007365 
0858092	004360 004872 004889 
0918009	002161 002856 006849 008799 
1056281	001423 002871 002876 004356 
0989520	001837 001844 002153 005725 
0906738	001572 005272 
0810794	001562 003567 
1004324	002368 005141 007365 
0752318	003270 004394 005177 005263 
0846811	002636 002934 007041 
1073544	001152 002562 003437 008421 
0896084	002876 
0858527	001426 001472 004872 
0901961	003004 006043 
0780485	003533 004670 
1010643	001152 001837 002856 004015 
1020083	001152 008464 
0988631	001572 001766 
1017444	002153 002856 003454 006024 
0836898	003037 
0999833	002856 005200 005263 005850 
0899636	001842 004394 006847 
0781424	001750 001761 
0854235	001161 001842 003426 
1001039	006031 006034 008766 
0988355	002856 004020 004840 
0910834	001546 001749 006035 
0783959	001749 003533 005138 
0992186	002856 002871 004010 006024 
0909585	006868 
0781191	002871 003004 003037 
0890043	001763 006031 006035 
0829360	002368 002381 002396 005177 
0915579	001227 001249 005141 
0948390	003406 006031 007045 
0995269	001766 003516 005122 006024 
1076085	002856 004670 007882 
0984724	007026 007032 008764 
0779365	004889 
0917883	005122 
0828467	007396 
0771075	003274 003406 
0779081	001176 001426 002871 008766 
0883015	001837 003527 005180 005223 
0920237	002856 
0829397	002871 003432 004858 004889 
0867125	004016 006026 007040 007365 
0824983	004817 006502 007391 
0988100	002856 007378 008766 
0906035	002572 003423 003454 
0769576	001227 
1001613	001837 006847 008764 
1077413	002856 006504 007365 008766 
0799016	001842 001861 002166 
0902217	003453 003481 003533 006504 
0912235	004738 005177 
0831531	006026 006043 006049 
0976318	003002 005120 008421 008446 
1057535	001152 001195 006849 
1005720	001152 003454 003533 004012 
0906362	006524 007391 007396 
0855085	006035 006049 006059 
0851112	002871 002992 005850 
0851111	002992 005850 006024 
0831435	004667 005263 
0825024	001472 004738 
1065142	002153 002856 004010 006024 
1002364	002153 008766 
0966094	001168 001837 001840 002161 
0919158	002871 007365 007380 008780 
0912781	001837 002161 006031 006041 
0751495	006868 
0773772	002992 004817 
0833695	001227 001249 
0782929	004083 007106 
0779966	001840 007391 007396 
0419327	001249 003009 005743 
0772735	001766 007378 007391 
0954641	002161 002856 005263 006849 
0871255	001161 002871 002876 005193 
0999733	002856 002992 003274 
0998784	006034 007888 
1004997	003421 003533 007882 
0809224	001244 001249 001842 005263 
0906963	001837 002153 004016 
0999896	002368 002397 004276 008799 
0834472	008459 
0807767	002876 007396 008766 
0904516	001837 002856 005263 008764 
0892458	001840 001842 006043 006847 
0826565	001572 002463 006043 
0914256	004872 
1002606	007378 007380 
1077815	001423 001750 005141 
1024213	001152 001168 002856 
0946010	002161 002992 004015 006849 
0741707	003472 005263 006502 
0904301	003009 004015 004858 
1056217	001152 002856 004845 006024 
0958984	001837 002161 008766 
0999195	001426 002875 002941 004012 
0746203	002153 004293 006026 
0855155	002934 002952 
0851187	002711 003527 
0992577	007378 007380 008421 
1055640	001763 002366 002992 008766 
0912439	001466 002856 
1015275	003427 003454 007365 008766 
1013197	002856 006031 006034 006849 
1001887	005180 005850 007026 
0851024	003004 
1020695	002856 002876 005177 007045 
1030693	002856 005846 007045 007378 
0988603	001152 005846 006031 006849 
0909216	004012 005211 006026 007017 
0959337	002856 006035 006043 008774 
0032765	002414 
0915622	001749 002876 006034 006035 
1034405	002856 002992 
0903191	002395 004803 
0959189	002161 006847 008766 
1025569	001168 004360 005180 
0899135	004804 004824 004845 008464 
0972633	008421 008469 008766 
1076009	002153 002992 006024 008766 
0656863	001766 005210 005263 
0771752	001546 
1017339	001152 002856 007365 008766 
1056096	004275 005210 006019 007045 
0910056	003004 004020 004023 004065 
0861816	002856 003472 003530 
0899316	008475 
0959200	001837 001840 002856 
0900429	001840 006524 
0896287	001168 006043 006049 007045 
0772218	001168 002871 004889 
0794297	003423 003516 006026 008780 
1082799	002368 004010 006024 008421 
0918519	004804 005141 005180 
0899481	003004 004036 006035 006041 006043 
1076783	005216 006026 008766 
0993517	001152 007380 
0889858	002992 
0780735	002871 003427 
0970262	001837 002153 004360 
0919776	002856 004275 004840 007045 
0827963	001152 003481 007378 008421 
0806189	001161 006031 
0919772	003004 004016 
0742549	003278 
1004225	002153 002856 004015 006031 
0751242	006019 008799 
0826363	001168 003533 
0887478	006043 007026 
1056963	002153 003274 004010 006024 
0746907	005210 006024 007045 
0913989	008421 008459 008469 008774 
1029210	004012 004276 005130 007045 
0806882	001168 
1009559	002153 002659 008475 008766 
1056815	002636 
0742461	003037 003516 003560 
0812628	001244 001249 003567 006024 
0888222	002876 
0789995	005191 005211 
0963528	003427 005211 005264 008766 
1068526	002934 006024 006849 
0967532	001572 002856 004858 
0576611	008799 
0908461	002562 002856 003516 003560 005850 
0956475	001768 002856 005180 008766 
0950811	006026 006524 007391 
0907217	002395 002396 002397 004276 
1065654	002368 002992 003427 006024 
1076531	002368 003406 
1065945	001168 004845 005723 005738 
1058058	002368 002856 003270 008764 
0912695	007370 007378 007391 007403 
0907218	004836 
0852940	001837 002174 002929 
0884876	002163 002166 006847 
1007882	002856 007017 007041 008782 
0918195	001771 003421 003560 
0827460	001750 001771 003423 
1067297	001152 003421 006524 007365 
0770471	001168 001249 001426 
0892568	003274 
0909560	002368 002397 002856 004845 
0958186	002856 006031 006524 006854 
1066915	002153 004360 
0830911	004065 004083 
0867165	002992 006558 007026 007045 
1056738	001766 004010 
0897091	002463 002464 004720 004845 
1057004	001763 005263 005725 008766 
0834343	001168 001839 002876 
0804193	001861 
0906618	003437 005141 006504 008421 
0944831	001565 002856 007365 008766 
0818674	004020 004356 
0906206	003002 003274 
0859409	001749 002871 004015 008782 
1000750	002572 002654 007032 008421 
0861690	002163 002166 008766 
0885910	002992 008459 008464 
1021867	002153 002636 002856 006024 
0981989	002856 006031 008774 
1047339	001423 002153 004275 004356 
0904003	002856 007045 
0986367	007378 007391 
0987861	002856 004804 
0914076	005725 006031 007365 007378 
0861504	004010 005263 006502 
0949279	002368 004362 004394 008490 
0871681	001161 001176 002659 008766 
1019212	002871 002876 007365 008764 
0912699	001844 003533 004817 004871 
0980693	002366 002397 008475 008766 
0825743	002871 002876 003560 
0916398	003004 006041 006059 
1039679	002876 004275 005180 008766 
0911849	008799 
1025379	001152 002856 005200 005846 
1040045	004670 005211 006024 007878 
1057261	001152 002871 003406 005162 
0773175	001840 002153 007403 
1005149	001176 001466 
0988990	002636 002992 005141 005223 
1005971	002856 006031 006034 008782 008799 
1001894	002992 006024 008764 
1001351	004275 004804 006019 
1007554	001168 001176 001195 
0747562	001227 002414 005263 006026 
1056320	003427 004817 006024 008421 
1044791	005723 006524 
0966268	001161 001176 004291 008475 
0901703	007106 
1021751	002856 002992 007045 008421 
1082905	002368 004275 
1082907	001152 001837 006024 008764 
0746084	001771 003423 003530 008475 
1046086	002636 002934 
1007799	003009 007017 007032 
0830862	002875 006868 006872 
0919283	001837 002161 002856 008766 
0960037	001161 001837 002161 
0999689	002992 004036 007045 007070 
0831966	006847 
0952008	001771 002653 006031 
1027597	002856 006024 008764 
1009103	006026 007380 
1009104	002871 007017 008464 
1054176	001840 004356 005177 005193 
0856959	001546 
1025623	002856 003453 007026 007045 
1076299	004012 004276 007032 008421 
0768507	003527 
0773385	001841 
0822717	006872 
1025629	002153 002856 003423 006031 
0810885	002653 004858 004889 
0741632	004872 004889 005743 
0914509	001770 002562 003437 007106 
0847790	003011 003423 004356 006031 
1044561	002856 002992 007045 008766 
0772504	003533 
0959092	002636 002856 002934 
1055078	002876 006024 006849 
1003128	002856 003270 007365 008764 
0909240	002153 002856 004012 006024 008766 
0909692	001839 001842 006847 
0831703	001771 006059 
1065183	004036 006031 006034 
1003389	001771 004803 004836 008421 
0853970	003029 006031 006035 
0830141	004877 007040 
0830269	006049 
0976244	001190 002856 004393 004394 
0827928	001249 008459 008490 
1065271	001152 002871 004016 006502 
1086489	002856 
0738079	002464 005272 
0819263	003002 005216 005263 
0818892	001771 007040 007106 008434 
1086329	004010 007370 007391 007396 
1037745	001152 002562 002856 004015 007041 
1084334	004356 006504 
1083080	002856 002992 003270 007365 
0773692	002163 002875 
0861730	002934 006043 006049 
0988657	002659 003421 004275 
1005199	002572 002856 
0909693	002572 002638 002941 007040 
0908862	001546 006041 006043 
1078921	002153 002856 006024 008764 
0831798	003011 003029 008459 
0890199	001168 002163 002166 
0905351	007045 007070 007106 
0803579	008421 008469 008501 008764 
0847248	004667 004670 006041 006049 
0786993	002871 002876 006049 
1083627	001423 002856 002871 008764 
1018817	001152 001766 002871 005850 
0803723	001161 001839 001842 002368 
0672478	004817 005263 
1007134	002856 006031 006034 008764 
0885444	001861 005210 006847 
0829796	001249 003530 004803 
0902371	001842 001861 006847 
0828705	002876 003437 005138 
1170860	004012 006524 008421 
0829096	002397 004803 
0833368	003002 004720 008459 
1016793	001840 001842 008421 
0904918	001152 002856 005725 
1006405	002856 004010 
0906896	001168 001844 002161 002856 
1025533	002153 007365 
0851209	001749 
0906447	003453 004010 005141 007365 
0874063	004065 005743 
0825935	008809 
0754161	006854 
0993506	001837 001844 002161 003454 003472 
0768049	001768 
0917732	002653 002856 003481 008774 
0899292	001168 001565 001567 004858 
0905453	002876 003002 007380 007396 
0989590	001842 001844 002153 006847 
0852088	002464 008780 
1076923	004015 006026 007032 
0859564	003274 003481 003567 008809 
0787509	002659 005177 008809 
