Class Nbr,Subject,Catalog,Section,Descr,Crse Topic,Name,Name,Name,Name,Name,Class Cap,Enrl Stat,Start Date,End Date,Tot Enrl,Class Stat,Days 1,Srt1 AM/PM,End 1 AMPM,Building 1,Room 1,Exam type,Facil ID 1,Room Capacity
1803,ECON,B324,001,Econ Discrimination&Inequality,,"Nutting,Andrew Willis",,,,,10,Open,9/5/17,12/22/17,9,A,TTH,12:55 PM, 2:15 PM,DAL,006,NOEXAM,DAL6,16
1804,ECON,B242,001,Econ of Local Environ Progs,,"Ross,David R.",,,,,30,Open,9/5/17,12/22/17,4,A,MW, 1:10 PM, 2:30 PM,DAL,25,NOEXAM,DAL25,20
1805,ECON,B225,001,Economic Development,,"Rock,Michael T.",,,,,25,Closed,9/5/17,12/22/17,25,A,TTH,12:55 PM, 2:15 PM,DAL,119,NOEXAM,DAL119,42
1806,PSYC,B203,001,Educational Psychology,,"Cassidy,Kimberly E.",,,,,28,Open,9/5/17,12/22/17,23,A,TTH, 8:25 AM, 9:45 AM,DAL,119,TAKEHOME,DAL119,42
1807,SPAN,B234,001,El cuento de lo fantástico,,"Sacerio-Gari,Enrique",,,,,0,Open,9/5/17,10/24/17,8,A,MW, 1:10 PM, 2:30 PM,CH,116,PAPER,CH116,25
1808,PHYS,B201,001,Electromagnetism,,"Schaffner,David A",,,,,18,Closed,9/5/17,12/22/17,22,A,MWF,10:10 AM,11:00 AM,PK,337,SELF,PK337,20
1809,FREN,B001,001,Elementary French,,"Sanquer,Marie",,,,,18,Open,9/5/17,12/22/17,6,A,MWF, 8:10 AM, 9:00 AM,TAY,E,MONAM,TAYE,35
1810,FREN,B001,002,Elementary French,,"Ragueneau,Corine M",,,,,18,Open,9/5/17,12/22/17,14,A,MWF, 9:10 AM,10:00 AM,TAY,B,MONAM,TAYB,21
1811,FREN,B001,003,Elementary French,,"Suaudeau,Julien Mathieu",,,,,18,Open,9/5/17,12/22/17,14,A,MWF, 9:10 AM,10:00 AM,TAY,D,MONAM,TAYD,35
1812,GERM,B001,001,Elementary German,,"Shen,Qinna",,,,,22,Open,9/5/17,12/22/17,15,A,MWF, 9:10 AM,10:00 AM,TAY,F,SELF,TAYF,50
1813,HEBR,B001,001,Elementary Hebrew,,"Sataty,Nechama",,,,,0,Open,9/5/17,12/22/17,9,A,MWF,10:10 AM,11:00 AM,TAY,SEM,NOEXAM,TAYSEM,12
1814,ITAL,B001,001,Elementary Italian,,"Kubati,Roni","Troncelliti,Gabriella",,,,18,Open,9/5/17,12/22/17,10,A,MWF, 9:10 AM,10:00 AM,CH,111,MONAM,CH111,30
1815,ITAL,B001,002,Elementary Italian,,"Kubati,Roni","Troncelliti,Gabriella",,,,18,Open,9/5/17,12/22/17,5,A,MWF,10:10 AM,11:00 AM,CH,111,MONAM,CH111,30
1816,LATN,B001,001,Elementary Latin,,"Baertschi,Annette Martine",,,,,20,Open,9/5/17,12/22/17,14,A,MWF,10:10 AM,11:00 AM,DAL,25,SELF,DAL25,20
1817,RUSS,B001,001,Elementary Russian,,"Stavis,Jesse Samuel","Harte,Timothy",,,,25,Open,9/5/17,12/22/17,7,A,MWF,10:10 AM,11:00 AM,RC,CON,SELF,RCCON,12
1818,SPAN,B232,001,Encuentros culturales,,"Gaspar,Martin L.",,,,,0,Open,9/5/17,12/22/17,13,A,MW, 2:40 PM, 4:00 PM,CH,102,TAKEHOME,CH102,14
1819,GEOL,B206,001,Energy Resources& Sustainab,,"Barber,Donald",,,,,31,Closed,9/5/17,12/22/17,44,A,TTH, 9:55 AM,11:15 AM,PK,180,PAPER,PK180,70
1820,HIST,B215,001,Europe and the Other 1492-1800,,"Gallup-Diaz,Ignacio",,,,,35,Open,9/5/17,12/22/17,9,A,MW, 1:10 PM, 2:30 PM,TAY,E,PROJECT,TAYE,35
1821,CSTS,B175,001,Feminism in Classics,,"Conybeare,Catherine",,,,,25,Open,9/5/17,12/22/17,18,A,TTH, 2:25 PM, 3:45 PM,TAY,G,NOEXAM,TAYG,45
1823,ARCH,B135,001,Focus: Arch Fieldwork & Method,,"Lindenlauf,Astrid",,,,,15,Open,9/5/17,10/24/17,12,A,MW, 9:10 AM,10:00 AM,CARP,25,TAKEHOME,CARP25,30
1824,BIOL,B326,001,From Channels to Behavior,,"Brodfuehrer,Peter D.",,,,,12,Open,9/5/17,12/22/17,8,A,MWF, 9:10 AM,10:00 AM,PK,127,PAPER,PK127,20
1825,ARTT,B251,001,Fundamentals of Acting,,"Ward,Molly",,,,,16,Closed,9/5/17,12/22/17,15,A,TTH, 2:25 PM, 3:45 PM,GO,COM,NOEXAM,GOCOM,35
1826,CHEM,B103,001,General Chemistry I,,"White,Susan A.",,,,,25,Open,9/5/17,12/22/17,20,A,MWF,12:10 PM, 1:00 PM,PK,278,SELF,PK278,35
1827,CHEM,B103,002,General Chemistry I,,"Karagiaridi,Olga",,,,,39,Closed,9/5/17,12/22/17,39,A,MWF,12:10 PM, 1:00 PM,PK,180,WEDAM,PK180,70
1828,CHEM,B103,003,General Chemistry I,,"Miller,Bradley Robert",,,,,39,Open,9/5/17,12/22/17,38,A,MWF,12:10 PM, 1:00 PM,PK,229,SELF,PK229,40
1833,BIOL,B201,001,Genetics,,"Davis,Tamara L.",,,,,34,Closed,9/5/17,12/22/17,37,A,TTH,11:15 AM,12:45 PM,PK,229,SELF,PK229,40
1834,BIOL,B216,001,Genomics,,"Shapiro,Joshua",,,,,24,Open,9/5/17,12/22/17,13,A,TTH,11:25 AM,12:45 PM,PK,010,PAPER,PK10,18
1835,GEOL,B299,001,Geology Field Short Course,,"Weil,Arlo Brandon",,,,,20,Open,9/5/17,12/22/17,15,A,,,,DAL,212E,NOEXAM,,0
1836,POLS,B256,001,Global Climate Politics,,"Hager,Carol",,,,,25,Open,9/5/17,12/22/17,24,A,MW, 1:10 PM, 2:30 PM,DAL,2,PAPER,DAL2,24
1839,ARCH,B205,001,Greek Sculpture,,"Donohue,Alice A.",,,,,15,Open,9/5/17,12/22/17,2,A,MWF, 1:10 PM, 2:00 PM,CH,104,TUESAM,CH104,30
1840,ANTH,B303,001,History Anthropological Theory,,"Campoamor,Leigh Miranda",,,,,15,Closed,9/5/17,12/22/17,16,A,W, 1:10 PM, 3:30 PM,PK,010,PAPER,PK10,18
1841,HART,B299,001,History of Narrative Cinema,,"King,Homay",,,,,0,Open,9/5/17,12/22/17,44,A,TTH, 9:55 AM,11:15 AM,CH,224,PAPER,CH224,50
1842,GEOL,B101,001,How the Earth Works,,"Weil,Arlo Brandon","Marenco,Katherine Nicholson",,,,20,Open,9/5/17,12/22/17,12,A,MWF, 9:10 AM,10:00 AM,PK,180,SELF,PK180,70
1843,GEOL,B101,002,How the Earth Works,,"Weil,Arlo Brandon","Marenco,Katherine Nicholson",,,,20,Closed,9/5/17,12/22/17,21,A,MWF, 9:10 AM,10:00 AM,PK,180,SELF,PK180,70
1844,GEOL,B101,003,How the Earth Works,,"Weil,Arlo Brandon","Marenco,Katherine Nicholson",,,,20,Open,9/5/17,12/22/17,17,A,MWF, 9:10 AM,10:00 AM,PK,180,SELF,PK180,70
1845,EALC,B264,001,Human Rights in China,,"Jiang,Yonglin",,,,,0,Open,9/5/17,12/22/17,11,A,TTH,12:55 PM, 2:15 PM,TAY,G,PAPER,TAYG,45
1846,ANTH,B354,001,Political Economy in Vietnam,,"Pashigian,Melissa J.",,,,,15,Open,9/5/17,12/22/17,11,A,M, 2:10 PM, 4:00 PM,DAL,212A,NOEXAM,DAL212A,18
1847,BIOL,B352,001,Immunology,,"Yin,Melinda Ray-Lin",,,,,24,Open,9/5/17,12/22/17,17,A,MW,10:10 AM,11:30 AM,PK,227,PROJECT,PK227,15
1848,ARAB,B403,001,Independent Study,,"Darwish,Manar",,,,,0,Open,9/5/17,12/22/17,0,A,, 0:00 AM, 0:00 AM,DAL,119,,,0
1849,CITY,B403,001,Independent Study,,"Cohen,Jeffrey A.",,,,,8,Open,9/5/17,12/22/17,0,A,, 0:00 AM, 0:00 AM,TAY,C,,,0
1850,ECON,B313,001,Industrial Org & Public Policy,,"Ross,David R.",,,,,15,Open,9/5/17,12/22/17,2,A,MW, 2:40 PM, 4:00 PM,DAL,10,NOEXAM,DAL10,16
1851,BIOL,B375,001,Integ Biochem & Molculr Bio I,,"Chander,Monica",,,,,22,Open,9/5/17,12/22/17,21,A,TTH, 9:55 AM,11:15 AM,PK,229,TAKEHOME,PK229,40
1852,FREN,B001IN,001,Intensive Elementary French,,"Zeiss,Agnes C",,,,,18,Open,9/5/17,12/22/17,16,A,MWF,10:10 AM,11:00 AM,TAY,D,MONAM,TAYD,35
1853,CNSE,B001,001,Intensive First-Year Chinese,,"Liu,Ying",,,,,0,Open,9/5/17,12/22/17,10,A,TTH, 9:55 AM,11:15 AM,TAY,C,SELF,TAYC,20
1854,CNSE,B001,002,Intensive First-Year Chinese,,"Liu,Ying",,,,,0,Open,9/5/17,12/22/17,10,A,TTH,12:55 PM, 2:15 PM,TAY,B,SELF,TAYB,21
1855,FREN,B005,001,Intensive Intermediate French,,"Armstrong,Grace Morgan",,,,,18,Open,9/5/17,12/22/17,7,A,MWF,10:10 AM,11:00 AM,TAY,C,SELF,TAYC,20
1856,FREN,B005,002,Intensive Intermediate French,,"Zeiss,Agnes C",,,,,18,Open,9/5/17,12/22/17,12,A,MWF,12:10 PM, 1:00 PM,TAY,C,SELF,TAYC,20
1857,FREN,B003,001,Intermediate French,,"Mahuzier,Brigitte",,,,,18,Open,9/5/17,12/22/17,12,A,MWF, 9:10 AM,10:00 AM,TAY,G,MONAM,TAYG,45
1858,FREN,B003,002,Intermediate French,,"Suaudeau,Julien Mathieu",,,,,18,Open,9/5/17,12/22/17,11,A,MWF,11:10 AM,12:00 PM,TAY,E,MONPM,TAYE,35
1859,GERM,B101,001,Intermediate German,,"Seyhan,Azade",,,,,18,Open,9/5/17,12/22/17,8,A,MWF,11:10 AM,12:00 PM,DAL,212E,TAKEHOME,DAL212E,12
1860,ITAL,B101,001,Intermediate Italian,,"Ricci,Roberta",,,,,18,Open,9/5/17,12/22/17,13,A,TTH, 9:55 AM,11:15 AM,CARP,13,MONAM,CARP13,15
1861,LATN,B110,001,Intermediate Latin,,"Scott,Russell T.",,,,,0,Open,9/5/17,12/22/17,5,A,MWF,11:10 AM,12:00 PM,CARP,13,SELF,CARP13,15
1862,ECON,B200,001,Intermediate Microeconomics,,"Nutting,Andrew Willis",,,,,30,Closed,9/5/17,12/22/17,34,A,TTH, 9:55 AM,11:15 AM,DAL,119,SELF,DAL119,42
1863,RUSS,B101,001,Intermediate Russian,,"Grigoryan,Bella",,,,,15,Open,9/5/17,12/22/17,13,A,MWF, 9:10 AM,10:00 AM,RC,CON,SELF,RCCON,12
1864,SPAN,B101,001,Intermediate Spanish I,,"Arribas,Ines Monique",,,,,18,Open,9/5/17,12/22/17,16,A,MWF,10:10 AM,11:00 AM,TAY,E,MONAM,TAYE,35
1865,SPAN,B101,002,Intermediate Spanish I,,"Arribas,Ines Monique",,,,,18,Open,9/5/17,12/22/17,16,A,MWF,12:10 PM, 1:00 PM,TAY,E,MONAM,TAYE,35
1866,SPAN,B102,001,Intermediate Spanish II,,"Quintero,Maria C.",,,,,18,Open,9/5/17,12/22/17,16,A,MWF,12:10 PM, 1:00 PM,TAY,F,TUESAM,TAYF,50
1868,ECON,B316,001,International Macroeconomics,,"Ceglowski,Janet",,,,,10,Open,9/5/17,12/22/17,6,A,MW,10:10 AM,11:30 AM,DAL,1,NORESPON,DAL1,18
1869,POLS,B391,001,International Political Econ,,"Allen,Michael H.",,,,,18,Open,9/5/17,12/22/17,14,A,W, 2:10 PM, 4:00 PM,CH,118,PAPER,CH118,12
1870,CSTS,B375,001,Interpreting Mythology,,"Edmonds,Radcliffe",,,,,12,Open,9/5/17,12/22/17,4,A,TTH,12:55 PM, 2:15 PM,CH,223,PAPER,CH223,12
1872,CMSC,B372,001,Intro Artificial Intelligence,,"Kumar,Deepak",,,,,24,Closed,9/5/17,12/22/17,26,A,MW,10:10 AM,11:30 AM,PK,278,NOEXAM,PK278,35
1877,EALC,B110,001,Intro Chinese Literature,,"Clifford,Timothy Robert",,,,,0,Open,9/5/17,12/22/17,15,A,MW, 1:10 PM, 2:30 PM,TAY,C,PAPER,TAYC,20
1879,ENVS,B101,001,Intro Environmental Studies,,"Barber,Donald","Hager,Carol",,,,40,Open,9/5/17,12/22/17,31,A,MW, 2:40 PM, 4:00 PM,DAL,119,SELF,DAL119,42
1880,SPAN,B120,001,Intro al analisis literario,,"Sacerio-Gari,Enrique",,,,,18,Closed,9/5/17,12/22/17,18,A,TTH, 2:25 PM, 3:45 PM,CH,116,PAPER,CH116,25
1881,HIST,B102,001,Intro to African Civilizations,,"Ngalamulume,Kalala",,,,,0,Open,9/5/17,12/22/17,29,A,MW, 1:10 PM, 2:30 PM,TAY,D,TAKEHOME,TAYD,35
1882,CITY,B226,001,Intro to Archit & Urban Design,,"Voith,Daniela Holt","Olshin,Samuel",,,,15,Closed,9/5/17,12/22/17,14,A,T, 7:10 PM, 9:00 PM,RO,155,NORESPON,ROSTUD,15
1883,COML,B200,001,Intro to Comparative Lit,,"Roses,Shiamin Kwa",,,,,0,Open,9/5/17,12/22/17,14,A,TTH, 9:55 AM,11:15 AM,CH,118,PAPER,CH118,12
1884,POLS,B131,001,Intro to Comparative Politics,,"Fenner,Sofia Alia",,,,,35,Closed,9/5/17,12/22/17,36,A,TTH,11:25 AM,12:45 PM,TAY,G,PAPER,TAYG,45
1885,ARTD,B137,001,Intro to Dance Tech I: Ballet,,"D'Angelo,Denise S","Cantor,Madeline R.",,,,12,Open,9/5/17,12/22/17,13,A,MW,12:10 PM, 1:00 PM,PE,STUD,NOEXAM,PEMSTD,50
1886,ARTD,B136,001,Intro to Dance Tech I: Modern,,"Cantor,Madeline R.",,,,,12,Open,9/5/17,12/22/17,15,A,MW,11:10 AM,12:00 PM,PE,STUD,NOEXAM,PEMSTD,50
1887,ARTD,B139,001,Intro to Dance Tech II: Ballet,,"D'Angelo,Denise S","Cantor,Madeline R.",,,,7,Open,9/5/17,12/22/17,1,A,MW,12:10 PM, 1:00 PM,PE,STUD,NOEXAM,PEMSTD,50
1889,CMSC,B206,001,Intro to Data Structures,,"Kumar,Deepak",,,,,24,Open,9/5/17,12/22/17,18,A,TTH, 9:55 AM,11:15 AM,PK,336,NOEXAM,PK336,30
1890,ENGL,B205,001,Intro to Film,,"Bryant,Sara Louise",,,,,30,Open,9/5/17,12/22/17,27,A,TTH, 2:25 PM, 3:45 PM,CARP,25,PAPER,CARP25,30
1891,GERM,B201,001,Intro to German Studies,,"Shen,Qinna",,,,,0,Open,9/5/17,12/22/17,8,A,MW, 1:10 PM, 2:30 PM,CH,102,SELF,CH102,14
1892,POLS,B141,001,Intro to International Politic,,"Allen,Michael H.",,,,,25,Closed,9/5/17,12/22/17,35,A,TTH, 2:25 PM, 3:45 PM,DAL,300,TAKEHOME,DAL300,72
1893,LING,B101,001,Intro to Linguistics,,"Lillehaugen,Brook Danielle",,,,,35,Closed,9/5/17,12/22/17,40,A,TTH, 2:25 PM, 3:45 PM,PK,243,NOEXAM,PK243,75
1894,FREN,B101,001,Intro à l'analyse litt/cult I,,"Le Mentheour,Rudy",,,,,0,Open,9/5/17,12/22/17,5,A,MWF,11:10 AM,12:00 PM,TAY,F,SELF,TAYF,50
1895,FREN,B101,002,Intro à l'analyse litt/cult I,,"Armstrong,Grace Morgan",,,,,0,Open,9/5/17,12/22/17,11,A,MWF,12:10 PM, 1:00 PM,CH,116,SELF,CH116,25
1896,ANTH,B101,001,Intro Anthropology: Bio & Arch,,"Seselj,Maja","VanSickle,Caroline Marie",,,,68,Open,9/5/17,12/22/17,64,A,TTH, 9:55 AM,11:15 AM,DAL,300,SELF,DAL300,72
