Students	1090
1059572	002160 002856 006029 008765 
1079756	002855 004011 007364 009270 
1059677	006500 007008 011027 011063 
1170757	001838 002856 004011 
1067862	001843 007008 007026 007034 
1064790	007377 
0973811	002878 004009 004666 004852 
1055441	005199 007372 007397 
0480377	003007 003009 006023 008782 
0877028	001749 003008 003027 007034 011066 
3069337	004009 004827 009270 
0945635	008485 008500 011046 
3095928	002149 002855 007008 008765 
1040818	004065 006042 007113 007125 
1143228	001764 002637 003454 
1078648	003422 007125 
3073357	001845 002151 002856 006846 
1143639	001836 002160 004023 008467 
1112377	002855 007008 007364 008773 
1078646	002658 004014 005156 007364 
3092294	002855 005722 
3087352	002855 002992 005847 
3073169	001836 003009 006042 009270 
1000750	007008 008467 008479 008495 
3071151	001763 004014 006860 006865 
1058223	005737 006044 006054 010851 
3097158	001151 001836 002855 
3080612	001749 002855 002992 006023 
0972660	001836 002182 009322 
1084462	004852 005248 006519 010935 
1000990	007127 011066 
3094722	001838 002855 005199 005202 
1077482	006044 006054 010851 
0991229	004888 005248 
3080592	002367 002413 004011 004827 006024 
3074711	002855 006023 008763 
1015256	003447 
3079376	001838 006029 008767 
1137955	001176 001213 002856 004009 
0945034	003484 008774 008810 010960 
0907596	005156 008500 
3079370	002855 004011 006026 011064 
1100899	001838 004377 007034 011035 
1146215	002399 002992 
1094134	002151 004009 
3100927	001151 002151 002855 004355 
1164190	002855 005722 010953 
1079771	001839 006029 011075 
1008967	002151 003007 004014 006023 
0991756	001764 003422 003531 
1024283	006042 006044 006054 006863 006865 
1076922	007113 007125 007127 
1076923	004017 004065 
3092999	002152 002855 004355 006023 006500 
1117264	001151 001444 001838 004274 
0972861	002164 002173 002182 
1119989	002160 005847 006029 006846 
0853174	003484 007125 
3107993	002367 002855 002992 008765 
0958897	006550 007387 
0987600	006042 007125 
1087960	002856 004359 
1104498	004014 006029 007375 011076 
1092116	001151 001176 005722 
1058421	004882 006519 010953 011066 
1088636	001843 002149 006023 008774 
3102832	002855 008420 008767 
1030369	001763 002992 006029 007010 007026 
3085504	001838 007008 010947 
1128560	001151 001845 004666 010947 011035 
1016996	007125 007127 
1146782	003007 006023 007364 007381 
3086238	002863 007375 007380 
1170370	001838 002856 008467 
3095105	002151 002855 002992 006023 
1000355	001838 006042 006044 
3085986	001836 002855 006023 007008 
1088180	001168 001843 002992 007381 
1076854	002399 005727 010947 011035 
3089276	001151 002855 004013 004807 
0993818	002643 011044 
3074965	001836 002367 002855 004011 
0909240	003447 006042 006044 006059 
3081669	002855 006023 006848 008765 
3089611	001151 002367 002855 004011 
3095719	002160 002855 004009 006023 
0988657	005727 005737 
3095335	001747 002151 002855 005722 
1076234	001547 001752 004359 007364 010935 
1018271	004827 004854 004868 
1042335	003454 007372 007375 010971 
1149565	003275 004359 007010 010947 
1150758	003007 005724 006023 008420 
3081368	002855 002992 004011 
3065039	002856 003006 006026 
3073143	001838 002856 006023 007026 007034 
1068052	006042 006044 006059 007127 
1018174	001838 003447 006519 009225 
0870197	001836 002160 006846 
1169341	001838 002869 003447 008774 
3069991	004274 005722 006023 
3105166	001836 002855 004014 006029 
1003020	001841 001862 
3093770	002160 002855 004011 006029 
3074314	001836 002855 004009 006023 
0833266	003277 007372 010725 
0773276	006562 009263 011056 
1000122	002472 
1018183	003422 005724 007034 
1102354	002855 007372 008765 010725 
0989432	001168 006863 006864 
0976421	002399 006026 007127 008810 
1087782	001151 001547 002856 010935 
1169360	001764 006026 006525 007380 
3074792	002855 006024 008767 
1067748	004013 007113 
1163391	002855 004011 006023 008420 
1167714	002855 006024 
0956475	001763 003447 004873 
3105612	002855 002992 007034 
1038303	002869 003454 
1020150	001839 004379 006846 008765 
0909942	006029 007375 008479 009263 
1077294	003027 004013 007087 
3082830	001151 002855 004013 006026 
1077003	007381 008485 
1007842	001166 001248 001856 
1171414	002367 004014 
1058048	003027 006846 007010 009270 
1077413	002149 006023 007375 007395 
1165961	002562 002855 008763 
3092985	002855 004011 009225 
1066309	001856 002160 011075 
1066308	003270 003275 004377 005156 
1163860	001151 002152 002855 004011 005141 
3100989	002855 002992 007364 008765 
3074634	001838 002855 004011 
0993532	001444 001473 010934 
1170820	001151 001747 002855 004011 
1006799	001838 008810 
1170823	001168 001836 002151 
3105820	002855 002992 004665 008765 
3105821	001151 001838 002855 008763 
3090362	002855 004013 004852 006024 
3091653	002855 003422 005141 005845 
3080794	002855 002992 006023 007877 
0986262	003029 003034 006508 007125 
3097636	002855 006023 006848 009225 
3077472	003009 004014 006029 007010 
1038420	001168 001841 001862 006026 
3097341	001423 002855 004011 006029 
0998351	002424 002469 002869 
1005451	002657 
1079614	007010 008420 008485 
1078680	001168 
3086015	002855 005852 007364 009225 
3085649	002855 006029 006848 
3091695	002855 004013 
3072867	003447 004806 005724 
3105862	002855 005722 006500 007026 
0952783	001168 002173 002182 
3102153	002855 004665 006023 008763 
3070648	002856 004359 011064 
0751788	006525 008500 
3097133	002151 002855 004355 006023 
1169962	001151 002160 002856 006023 
0960084	002182 010932 
3076618	002856 005141 005199 
3104386	001151 002562 002855 003407 007364 
0920095	001168 001845 001862 008810 
1065271	004017 004065 005199 008765 
1169968	001444 004274 006023 
1149616	001763 003454 004013 007364 
1104151	004274 004827 005737 006023 
1000895	003034 006059 008810 
3068772	002367 002856 008773 
1056270	004806 004882 009296 
3098918	005722 
1039831	004017 004065 005856 005868 
0992616	001166 001248 001892 
1068371	002164 006029 006846 009322 
0990668	002657 003511 003531 010960 
0998799	002992 007010 009296 011056 
1067933	001841 001845 009322 
0964596	001561 006042 006059 009322 
1142227	002562 002856 
3093221	001151 002151 002855 006500 
3105854	002855 002992 003447 006024 
1170033	004807 007372 010953 
1057592	003422 005141 005202 
3076190	002856 007364 008765 
1095596	002856 007124 
0865582	005199 005247 008467 009304 
1064605	002160 005727 005737 
1005427	001838 007008 010947 
3098948	002855 005722 006023 008774 
1019674	007125 008773 
3080473	002367 002855 002992 008763 
3088521	002149 002855 006023 008763 
1081250	004014 006023 010725 
1160614	001151 001836 003484 008765 
1158007	001763 001845 002160 006029 
3089298	002855 006023 009225 009296 
1160158	001836 002160 005199 008774 
3088651	002855 005119 006023 007008 
1111549	001836 002869 004733 006846 
1039943	002367 003484 003511 007887 
1078413	001752 001769 
0746213	008500 
1129814	001151 001168 002149 004013 
0904680	004278 004280 004282 
3070090	002413 006026 
1084909	001862 001890 005248 006848 
3088652	002855 008767 
1049050	001838 004355 005845 
1004968	006519 007125 009296 011056 
3100835	001151 002855 004355 006848 
1122905	001836 002856 004011 006023 
3099467	001151 002855 004017 005722 
3072447	001749 002367 006023 
0907150	002469 002472 011079 
0991763	001166 001248 
1077683	001763 002855 005845 006023 
1079444	003447 010960 
3072910	003270 004013 007375 007380 
0913880	001473 010934 
1056281	001168 001444 002869 010956 
1076776	006029 
3095630	002855 003447 008765 
0987347	002992 006029 008774 
1010643	001168 001856 002160 
1003100	003454 007395 007397 
1086916	006044 006054 006059 
3073066	001444 003007 004806 011076 
1092999	001151 001166 004274 006029 
0945959	006054 006059 009322 
3086747	001151 002855 004359 008420 
3068712	001836 002160 005724 006029 
1079564	002992 004017 005722 007010 
1077815	001444 001763 009270 010932 
0911218	003454 005119 007920 
0992223	002643 007034 007127 
1002045	002173 002182 
0959189	002182 
1002047	007377 
1145146	002637 002856 003454 007010 
1001806	002399 002420 004852 006026 
3107254	001836 002855 004011 006023 
3092072	002151 002855 004806 006024 
0970193	002162 006042 006044 006846 
1066335	003484 007375 010953 
3099448	001151 002149 002855 006023 
1041559	001151 001839 001843 002160 
3100628	002855 005119 006024 
3084099	005121 
0980693	002472 
3093174	001151 002855 004014 006502 
3077336	002571 002992 008765 
3099590	002855 006026 007364 008765 
0947693	001423 004827 010934 010956 
0954830	001248 001444 006042 
0954831	009270 010947 
0988263	001168 001176 004009 006846 
1077257	006026 007026 
1050781	008479 008495 
0982172	007127 010957 011063 
0991668	001168 001752 004873 004888 
1058893	004735 009263 
1081917	003007 006042 006044 
1170860	006500 007364 
3071094	001843 002151 
1095157	001168 001423 001444 001836 
1082150	001839 001856 011075 
1171297	002567 002568 002569 006860 006865 
0988544	002671 008479 008500 
0989401	001843 004013 004807 004888 
1035148	001839 001841 001843 001864 
3098799	001561 002152 002855 004359 006024 
3090785	001183 002855 002863 008763 
0957333	001168 005737 006863 006864 
0952211	010960 011079 
1056012	001769 002367 003454 003511 
3102057	002635 002855 003007 007008 
0781523	001836 002160 006846 
3086512	002855 005722 006023 
1004733	001894 008810 
3074551	001444 004274 004735 
3073666	002992 006029 009322 010851 
1098099	002869 002992 008420 008767 
3102974	002855 004274 004359 008420 
3082398	001183 
0968216	001769 004852 004873 
0902541	007127 
1005068	006506 007127 009322 
3087720	002367 002855 006023 008420 
1056970	006026 007008 007034 
0852192	002399 002712 008810 
1160885	006029 006860 
1084185	007010 007125 008767 
3095111	002151 002635 002855 006024 
3104658	002658 002855 006024 006500 
1007779	004852 
3105818	002149 002855 006023 
3104653	002855 006500 007364 011035 
1008282	007364 007380 007395 
3103933	001423 002855 004009 006023 
3107963	002855 002992 007026 
3097894	002855 007364 
1020520	004666 004733 006038 006042 
0988826	003454 005141 006023 008767 
0986094	001894 008485 
0910403	002869 003447 004807 010960 011079 
0959919	001838 010725 010960 
1065732	001838 006023 007372 010947 
3096693	002855 007034 007364 
1055348	002856 002992 006029 010851 
1005548	004278 006023 
1036027	006044 010851 
1157506	002992 007010 
1081101	001168 001843 
3106074	002856 007034 008763 011063 
3071136	002367 002855 004274 008763 
0920261	006508 006550 
1078655	002856 004011 006864 006865 
1093549	004013 
3087433	001749 002855 004014 007364 
1006899	007008 007127 008774 
1040045	001836 002151 007887 007897 
1150699	001836 002160 006029 009322 
3104489	001423 001836 002855 004733 
3103445	002367 002855 007364 008765 
0988245	011066 
3095387	001151 001836 002855 005722 
3099774	002855 002992 006023 
1010750	005845 011063 
1063875	004355 004827 006023 006519 
3090537	001151 002855 004011 009270 
3087449	002855 002992 006023 008765 
3080198	001836 006023 008763 
3107966	002855 002992 
1160658	003009 007026 
3096547	002160 002855 004011 006023 
3085513	001838 003007 007010 
1019025	002394 002429 
0901262	001444 002869 004735 010932 
3074001	002367 002992 004011 007364 
1094520	002856 004735 
3073384	003006 
3071734	003484 007364 010953 
1021017	001168 005156 006519 006550 
3089081	002855 004665 006023 006848 
3087444	001836 002152 002855 006024 
1065238	001838 003484 003531 011035 
0971073	005248 006023 008479 008500 
0832653	004017 
3072484	001764 002160 006029 006846 
0904347	008810 
1086927	002367 002394 002413 005722 
0992189	001166 001248 004666 009263 
1005112	005156 006044 006059 010961 
1167996	002151 002855 004036 006029 
0905682	001151 010953 
1090564	001845 002992 005156 006023 
1149270	002367 002856 
1078836	003009 
0987613	002569 002571 006054 006059 
0992186	005156 005247 006500 
0971315	002151 003031 004827 009322 
1029787	001862 006029 006500 006846 
1169109	004017 011027 
1101336	002367 005156 008420 008765 
1065196	003447 003454 003511 
1053370	001838 002399 010935 
0853988	004873 005156 
1088785	002160 006023 006846 008763 
1172355	001151 001176 010932 
3080595	002160 006029 006846 007010 
0966303	004854 004873 004888 
1067483	007113 007125 007127 
1111901	004014 005852 007010 007034 
1163278	002855 002869 005722 007364 
1088192	003454 003484 011079 
1076299	002151 004278 004288 006550 
1028249	002869 005727 006500 
0915740	007124 007127 011063 
1129708	002856 006029 007375 008765 
0986688	005247 007113 009304 011046 
1085106	001836 002160 004017 007010 
0987276	001444 005727 007920 
1077161	006042 007026 
1095349	001843 005722 009270 010953 
3080937	002992 003447 003454 011035 
1085324	001168 004852 004882 004888 011035 
3074734	005724 007364 010953 
3100408	002562 002855 006023 008763 
1169369	004827 006519 
1017840	001176 002863 004733 010956 
1025035	002562 006508 008467 
3085810	002367 002855 005722 011063 
3068353	001836 008763 
1021867	001166 001862 006846 007381 
0965861	001213 010960 
1077963	001843 002643 
0911361	001444 006502 
1131602	001838 003007 003009 008774 
0918009	001562 002173 002182 
3097903	001752 002855 007377 008765 
3085521	001166 007364 010947 
0989520	001890 011075 
0856128	003007 
3198211	002856 005847 
3099704	001151 002855 006023 008763 
1073544	007881 008479 008495 
3107323	001151 002855 004011 005141 
1088120	002151 002855 006024 006500 
1066431	002856 004013 005156 007372 
3096149	001151 002855 007026 008765 
0991769	005199 006863 011064 
1020083	006026 
1082842	001836 002856 004014 006024 
1017444	001166 002164 006029 006846 
0999833	005190 009304 
0967532	004274 008767 
1141729	001838 004807 005724 006026 
1032769	004806 004852 
1058058	002469 005248 
1001039	003277 004666 006026 006044 006059 
1167438	001547 002855 007877 008765 
0988355	004873 004888 
1039679	005156 005199 005243 
1142309	002856 007364 008420 008773 
0993506	001769 001892 003484 003511 
1098210	002413 004013 004274 006026 
0948390	001836 002151 
3103807	001749 002855 004009 010953 
1161482	001151 002855 002992 004014 
0995269	001764 003531 004827 005199 
1076085	002869 007905 011058 
0852148	004369 005202 
0917883	001168 004827 
1097648	002367 002394 002413 002420 
3102380	002151 002855 006023 008763 
0779081	001183 001444 001473 
1065148	001836 007008 007010 010947 
1016793	002712 011079 
3095842	002855 002992 004011 006023 
0867125	004023 007113 007125 007127 
0999733	002637 010961 
0989590	001862 001894 
3098354	001764 002855 004013 
1080792	003006 003027 007034 007377 
3112067	001839 007364 007380 008763 
3095588	002855 005141 006026 008765 
3079862	002855 006024 006848 008763 
0976318	005123 008479 008500 
1005720	003511 005141 010725 
3077033	002855 006023 007364 008420 
1077065	002856 006519 
1080894	001769 002869 004827 005156 
1083080	001763 007375 007377 
1056203	005727 005737 007364 011063 
1065142	002162 002164 006029 
1082919	004733 010932 010956 
0919158	007372 007375 007395 
0912781	001892 007010 010725 
3092431	002151 002855 007008 008763 
1066007	001423 002399 002413 003275 
1161132	002869 008782 
1104669	002856 004017 
1095717	003275 004017 007372 007375 
0908461	003511 004369 
1065646	003484 006023 006506 
0998784	009225 
1004997	006024 011079 
1100383	002151 003531 006023 011058 
0920251	004807 004888 007113 007127 
0731629	007397 009322 010961 
3092580	001423 002855 004009 006023 
3083787	002152 002855 003447 
3104541	002149 002855 006024 008763 
1143717	001151 007010 007026 
1005346	008467 010953 011066 
1094929	004009 006023 006500 
1150720	002856 007372 010953 011076 
0254082	006023 006848 008763 
1002606	007375 007381 008467 
3075188	006029 007372 
1059654	001763 002856 003422 007010 
1121871	002992 003270 005156 007008 
1172397	001862 001892 007010 
0958984	001166 001841 001892 
3072293	001151 004274 005847 
3073507	001836 002367 002992 010971 
1064385	004807 004873 005727 005737 
1019212	002856 003422 003447 
0992577	007395 010935 
3064977	006500 007372 010953 011076 
1080808	002151 002855 005141 006023 
0912439	001183 001473 004282 
3093697	001836 002855 006023 008763 
1015275	007375 007377 010960 010961 
1013197	006054 006863 006865 009322 
1001887	004868 004873 004888 
1020695	003454 007124 008467 
1170071	001166 001843 002151 006023 
1030693	003422 003447 003454 004013 
0757321	001862 002855 007008 009322 
3093369	002855 005845 006023 006848 
1018936	002394 006042 010851 
3089566	002149 002855 006023 008767 
0909216	004274 005199 005248 009304 
3095924	007380 
0915622	006042 006059 009270 
1034405	002160 003007 004666 007881 
3099470	002855 
0987937	001166 005737 008479 011044 
3100876	002855 004014 005156 006026 
1086867	002151 004278 004359 006023 
1084363	001764 002856 003454 007377 
0972633	008500 
1076009	002164 004666 006846 
1157688	001838 004807 005119 010953 
1096113	003422 005737 006500 007364 
1017339	002567 002568 002569 002571 
1056096	002151 004282 004288 009262 
0959200	001862 007372 009322 
3094906	001836 002855 010971 
3094908	002151 002855 006023 008765 
3081061	005724 006026 011063 
3088352	002855 003447 005852 006500 
1076238	001838 006525 007026 
1025460	002162 006848 009322 
1025508	001213 003270 007372 
3077762	002160 002855 004009 006029 
1082799	008420 008467 008479 
0918519	007087 007127 
3073004	003009 006023 007010 
1076783	001838 004013 005243 005247 
1099178	001836 002855 004011 006023 
1169257	001843 002151 002856 005121 
1088384	003270 005121 006042 010851 
1163326	001151 002151 002855 004011 
3094719	001151 002855 006848 011076 
0970262	001845 004882 004888 006846 
0919776	004888 007113 007127 
0827963	008479 008485 008500 
3078073	002160 006029 006846 011035 
1079085	002367 007375 007377 008774 
1032432	001838 002856 007887 
1093044	002682 006500 008765 011076 
1004225	001839 001843 004036 007364 
0987243	003277 
1088365	002992 006029 006502 008765 
1117142	002562 010953 
0913989	005156 008467 008500 
1029210	004827 004868 006023 
1082708	002855 006024 008774 
1146370	007380 007881 
1086447	004806 007375 007381 
1029566	001862 003447 003454 006846 
1007952	002992 004806 006550 011056 
0963528	004665 009304 
1068526	002571 006044 
3091295	001151 002855 006026 008767 
3076211	002562 004009 006029 
3068369	003454 007364 008767 
0913115	005156 007124 007127 
3094287	002855 004274 004355 006500 
3087347	001151 002855 004009 006500 
3085728	002855 008763 
3088988	002855 004807 006026 011044 
0907217	001758 001845 002472 
3097953	002855 002869 006026 011044 
1076531	002855 006500 
1065945	002394 002399 002469 007010 
0965925	003511 003531 004369 010960 
1143290	002160 006029 006044 007372 
1007882	005156 007124 007127 
0918195	001758 002658 
3075163	002855 007364 008420 008773 
3088812	001423 002855 007364 008765 
1067297	001845 006023 006519 006550 
1124785	002151 002856 005722 007380 
3094573	001423 002855 004733 005852 
1164206	001423 002855 005722 005852 
1104216	005724 006029 006846 011076 
3107658	002855 004017 004036 007008 
0909560	002472 002992 011079 
3096150	002855 005141 006023 
0958186	006550 006863 006864 
3089636	001151 002855 006023 008767 
1139392	002856 003007 004011 006029 
1056738	006502 007008 007034 011066 
0946010	001841 002182 
3098330	002151 002367 002855 006023 
1171002	001836 004355 004827 006023 
0906618	002992 008479 008485 
0944831	001769 002562 004852 010971 
3087493	002855 006023 007008 008763 
3089009	002855 005141 007364 008767 
0859409	011046 
3108036	002855 005119 
3105802	002855 004807 007377 008763 
1163417	002855 004014 006026 010971 
0993551	001166 001248 
3079675	002855 004013 005141 007364 
3088978	001836 002855 005727 006023 
3088124	002151 002855 007008 008763 
3099729	001151 002855 004013 006500 
0981989	007113 007127 
3091573	002855 004013 006500 
0986367	005156 007377 007380 007397 
0999195	001473 010956 
0914076	007380 007397 010961 
0949279	002472 
0871681	001166 001168 001213 001248 
3074167	004014 007372 007375 008763 
0912699	004888 010960 
0700408	002568 
0952443	007372 
3079272	005156 007381 
3087407	002855 004807 006500 007364 
0852502	007008 010971 
3102884	002855 006500 
3095968	002152 002562 002855 004011 006029 
1057261	001151 004014 004666 004827 
0906447	003009 007034 007125 011063 
1064752	001836 005243 
1145578	002856 004014 004379 
1005971	010947 011046 
1010741	001444 004665 005847 010932 
3072397	002855 003484 004355 
3095625	002855 006024 007026 008763 
1001351	004666 004827 004868 
1007554	001166 001248 009322 
3087394	002855 004009 007364 
1056320	005156 009270 
3092236	002855 004009 004274 006024 
3095050	001836 002855 003447 004011 
1044791	002682 003270 006023 007372 
0966268	004278 004282 010932 
1096152	001749 001769 006500 006525 
1021751	003007 003008 007124 007881 
3077809	002635 002992 006023 
1082905	002399 002413 
1082907	001168 001845 002160 
1088214	002855 004009 005737 006024 
0985094	002464 002469 006519 011055 
1007799	003008 004666 007125 007127 
3089892	002855 003422 004009 006848 
0967793	004827 007127 011066 
1171461	004014 007010 007034 011063 
0919283	002182 002869 009322 
0960037	002173 002182 007375 009322 
0999689	007124 007127 008763 
0952008	002712 003484 006042 010971 
3070344	002149 006023 008767 011027 
3094695	002855 004009 006023 006500 
3103038	002413 002855 006023 007877 
1009103	008774 
1009104	008420 008479 008500 
3092972	002855 002992 006023 008765 
1100537	002856 006502 007375 008765 
1100536	002856 006029 006502 008765 
1025623	006500 007113 007124 008765 
1005102	001836 002424 002472 004827 
3088090	002151 002855 004355 006029 
3074936	001758 003270 003454 
1025629	002162 002164 004355 010851 
1076274	004288 005141 005156 008810 
1034578	002464 002469 002682 
0847790	002413 003008 003027 003031 
3074930	002367 002413 003006 008767 
0959092	002643 006026 011045 
3072063	004274 008765 
1055078	001168 001183 006500 009322 
0980544	001769 004852 010960 
1095814	002992 005156 007375 007381 
1065183	001838 006054 008774 
3075745	004666 006029 007008 010947 
0988625	002182 002869 008763 
